
 Page fault sequence (pi,xi) : 
(28058,31)
(28058,38)
(28058,32)
(28058,2)
(28058,21)
(28058,38)
(28058,26)
(28058,7)
(28058,6)
(28058,30)
(28058,5)
(28058,26)
(28058,13)
(28058,8)
(28058,37)
(28058,6)
(28058,17)
(28058,23)
(28058,22)
(28058,9)
(28058,35)
(28058,37)
(28058,8)
(28058,25)
(28058,2)
(28058,36)
(28058,31)
(28058,0)
(28058,27)
(28058,33)
(28058,32)
(28058,26)
(28058,17)
(28058,39)
(28058,15)
(28058,12)
(28058,7)
(28058,14)
(28058,2)
(28058,12)
(28058,32)
(28058,8)
(28058,12)
(28058,30)
(28058,14)
(28058,29)
(28058,13)
(28058,28)
(28058,5)
(28058,15)
(28058,23)
(28058,2)
(28058,0)
(28058,36)
(28058,11)
(28058,31)
(28058,36)
(28058,16)
(28058,20)
(28058,9)
(28058,34)
(28058,7)
(28058,8)
(28058,1)
(28058,19)
(28058,7)
(28058,15)
(28058,14)
(28058,11)
(28058,8)
(28058,14)
(28058,24)
(28058,30)
(28058,20)
(28058,13)
(28058,3)
(28058,8)
(28058,18)
(28058,23)
(28058,12)
(28058,1)
(28058,24)
(28058,8)
(28058,5)
(28058,7)
(28058,37)
(28058,36)
(28058,24)
(28058,17)
(28058,5)
(28058,10)
(28058,16)
(28058,13)
(28058,11)
(28058,28)
(28058,13)
(28058,27)
(28058,34)
(28058,24)
(28058,27)
(28058,8)
(28058,0)
(28058,17)
(28058,28)
(28058,14)
(28058,12)
(28058,28)
(28058,24)
(28058,31)
(28058,11)
(28058,29)
(28058,24)
(28058,27)
(28058,29)
(28058,35)
(28058,26)
(28058,25)
(28058,19)
(28058,36)
(28058,22)
(28058,29)
(28058,12)
(28058,28)
(28058,32)
(28058,0)
(28058,1)
(28058,19)
(28058,34)
(28058,17)
(28058,38)
(28058,34)
(28058,18)
(28058,7)
(28058,14)
(28058,24)
(28058,20)
(28058,2)
(28058,0)
(28058,11)
(28058,6)
(28058,29)
(28058,27)
(28058,33)
(28058,19)
(28058,17)
(28058,28)
(28058,37)
(28058,34)
(28058,39)
(28058,25)
(28058,17)
(28058,28)
(28058,30)
(28058,5)
(28058,13)
(28058,22)
(28058,38)
(28058,24)
(28058,9)
(28058,15)
(28058,23)
(28058,3)
(28058,25)
(28058,30)
(28058,10)
(28058,9)
(28058,12)
(28058,2)
(28058,13)
(28058,18)
(28058,31)
(28058,1)
(28058,12)
(28058,2)
(28058,10)
(28058,32)
(28058,0)
(28058,4)
(28058,32)
(28058,17)
(28058,13)
(28058,12)
(28058,7)
(28058,10)
(28058,25)
(28058,30)
(28058,8)
(28058,10)
(28058,39)
(28058,16)
(28058,33)
(28058,34)
(28058,1)
(28058,15)
(28058,4)
(28058,3)
(28058,26)
(28058,9)
(28058,5)
(28058,31)
(28058,27)
(28058,36)
(28058,32)
(28058,31)
(28058,2)
(28058,24)
(28058,23)
(28058,39)
(28058,16)
(28058,0)
(28058,4)
(28058,28)
(28058,8)
(28058,15)
(28058,14)
(28058,30)
(28058,15)
(28058,24)
(28058,21)
(28058,23)
(28058,9)
(28058,15)
(28058,25)
(28058,24)
(28058,12)
(28058,28)
(28058,2)
(28058,21)
(28058,25)
(28058,34)
(28058,8)
(28058,13)
(28058,18)
(28058,32)
(28058,4)
(28058,13)
(28058,16)
(28058,27)
(28058,4)
(28058,24)
(28058,28)
(28058,8)
(28058,4)
(28058,28)
(28058,15)
(28058,18)
(28058,23)
(28058,34)
(28058,39)
(28058,6)
(28058,35)
(28058,31)
(28058,20)
(28058,18)
(28058,11)
(28058,14)
(28058,39)
(28058,36)
(28058,0)
(28058,10)
(28058,19)
(28058,24)
(28058,14)
(28058,0)
(28058,34)
(28058,28)
(28058,16)
(28058,22)
(28058,28)
(28058,20)
(28058,2)
(28058,4)
(28058,39)
(28058,20)
(28058,27)
(28058,25)
(28058,11)
(28058,33)
(28058,21)
(28058,9)
(28058,17)
(28058,33)
(28058,28)
(28058,20)
(28058,39)
(28058,19)
(28058,9)
(28058,0)
(28058,11)
(28058,19)
(28058,35)
(28058,25)
(28058,27)
(28058,11)
(28058,15)
(28058,3)
(28058,33)
(28058,24)
(28058,27)
(28058,39)
(28058,15)
(28058,7)
(28058,26)
(28058,32)
(28058,10)
(28058,12)
(28058,5)
(28058,20)
(28058,21)
(28058,30)
(28058,0)
(28058,1)
(28058,30)
(28058,19)
(28058,2)
(28058,22)
(28058,23)
(28058,21)
(28058,25)
(28058,18)
(28058,39)
(28058,20)
(28058,38)
(28058,10)
(28058,27)
(28058,1)
(28058,36)
(28058,30)
(28058,17)
(28058,23)
(28058,30)
(28058,24)
(28058,23)
(28058,8)
(28058,17)
(28058,33)
(28058,12)
(28058,14)
(28058,5)
(28058,33)
(28058,27)
(28058,17)
(28058,29)
(28058,9)
(28058,0)
(28058,3)
(28058,26)
(28058,10)
(28058,34)
(28058,38)
(28058,8)
(28058,4)
(28058,25)
(28058,2)
(28058,32)
(28058,15)
(28058,19)
(28058,8)
(28058,37)
(28058,36)
(28058,31)
(28058,6)
(28058,13)
(28058,16)
(28058,18)
(28058,27)
(28058,22)
(28058,4)
(28058,24)
(28058,19)
(28058,23)
(28058,11)
(28058,36)
(28058,12)
(28058,7)
(28058,38)
(28058,39)
(28061,1)
(28061,0)

