
 Global ordering (ti,pi,xi) : 
(0,28058,31)
(1,28058,31)
(2,28058,38)
(3,28058,38)
(4,28058,32)
(5,28058,32)
(6,28058,2)
(7,28058,2)
(8,28058,21)
(9,28058,21)
(10,28058,38)
(11,28058,38)
(12,28058,26)
(13,28058,26)
(14,28058,7)
(15,28058,7)
(16,28058,6)
(17,28058,6)
(18,28058,30)
(19,28058,30)
(20,28058,5)
(21,28058,5)
(22,28058,26)
(23,28058,26)
(24,28058,13)
(25,28058,13)
(26,28058,8)
(27,28058,8)
(28,28058,37)
(29,28058,37)
(30,28058,6)
(31,28058,6)
(32,28058,17)
(33,28058,17)
(34,28058,23)
(35,28058,23)
(36,28058,22)
(37,28058,22)
(38,28058,23)
(39,28058,9)
(40,28058,9)
(41,28058,35)
(42,28058,35)
(43,28058,37)
(44,28058,37)
(45,28058,8)
(46,28058,8)
(47,28058,25)
(48,28058,25)
(49,28058,2)
(50,28058,2)
(51,28058,36)
(52,28058,36)
(53,28058,31)
(54,28058,31)
(55,28058,0)
(56,28058,0)
(57,28058,27)
(58,28058,27)
(59,28058,33)
(60,28058,33)
(61,28058,32)
(62,28058,32)
(63,28058,26)
(64,28058,26)
(65,28058,17)
(66,28058,17)
(67,28058,26)
(68,28058,39)
(69,28058,39)
(70,28058,15)
(71,28058,15)
(72,28058,12)
(73,28058,12)
(74,28058,7)
(75,28058,7)
(76,28058,14)
(77,28058,14)
(78,28058,2)
(79,28058,2)
(80,28058,12)
(81,28058,12)
(82,28058,32)
(83,28058,32)
(84,28058,8)
(85,28058,8)
(86,28058,12)
(87,28058,12)
(88,28058,30)
(89,28058,30)
(90,28058,14)
(91,28058,14)
(92,28058,29)
(93,28058,29)
(94,28058,13)
(95,28058,13)
(96,28058,28)
(97,28058,28)
(98,28058,5)
(99,28058,5)
(100,28058,15)
(101,28058,15)
(102,28058,23)
(103,28058,23)
(104,28058,2)
(105,28058,2)
(106,28058,23)
(107,28058,0)
(108,28058,0)
(109,28058,36)
(110,28058,36)
(111,28058,11)
(112,28058,11)
(113,28058,31)
(114,28058,31)
(115,28058,36)
(116,28058,36)
(117,28058,31)
(118,28058,16)
(119,28058,16)
(120,28058,20)
(121,28058,20)
(122,28058,9)
(123,28058,9)
(124,28058,34)
(125,28058,34)
(126,28058,7)
(127,28058,7)
(128,28058,8)
(129,28058,8)
(130,28058,1)
(131,28058,1)
(132,28058,19)
(133,28058,19)
(134,28058,7)
(135,28058,7)
(136,28058,15)
(137,28058,15)
(138,28058,14)
(139,28058,14)
(140,28058,11)
(141,28058,11)
(142,28058,8)
(143,28058,8)
(144,28058,14)
(145,28058,14)
(146,28058,24)
(147,28058,24)
(148,28058,30)
(149,28058,30)
(150,28058,20)
(151,28058,20)
(152,28058,13)
(153,28058,13)
(154,28058,3)
(155,28058,3)
(156,28058,8)
(157,28058,8)
(158,28058,18)
(159,28058,18)
(160,28058,18)
(161,28058,23)
(162,28058,23)
(163,28058,12)
(164,28058,12)
(165,28058,1)
(166,28058,1)
(167,28058,24)
(168,28058,24)
(169,28058,8)
(170,28058,8)
(171,28058,5)
(172,28058,5)
(173,28058,7)
(174,28058,7)
(175,28058,37)
(176,28058,37)
(177,28058,36)
(178,28058,36)
(179,28058,24)
(180,28058,24)
(181,28058,17)
(182,28058,17)
(183,28058,5)
(184,28058,5)
(185,28058,10)
(186,28058,10)
(187,28058,16)
(188,28058,16)
(189,28058,13)
(190,28058,13)
(191,28058,11)
(192,28058,11)
(193,28058,28)
(194,28058,28)
(195,28058,13)
(196,28058,13)
(197,28058,27)
(198,28058,27)
(199,28058,34)
(200,28058,34)
(201,28058,24)
(202,28058,24)
(203,28058,27)
(204,28058,27)
(205,28058,8)
(206,28058,8)
(207,28058,0)
(208,28058,0)
(209,28058,17)
(210,28058,17)
(211,28058,28)
(212,28058,28)
(213,28058,14)
(214,28058,14)
(215,28058,12)
(216,28058,12)
(217,28058,28)
(218,28058,28)
(219,28058,24)
(220,28058,24)
(221,28058,31)
(222,28058,31)
(223,28058,11)
(224,28058,11)
(225,28058,29)
(226,28058,29)
(227,28058,24)
(228,28058,24)
(229,28058,27)
(230,28058,27)
(231,28058,29)
(232,28058,29)
(233,28058,29)
(234,28058,35)
(235,28058,35)
(236,28058,26)
(237,28058,26)
(238,28058,25)
(239,28058,25)
(240,28058,19)
(241,28058,19)
(242,28058,36)
(243,28058,36)
(244,28058,22)
(245,28058,22)
(246,28058,29)
(247,28058,29)
(248,28058,12)
(249,28058,12)
(250,28058,28)
(251,28058,28)
(252,28058,32)
(253,28058,32)
(254,28058,0)
(255,28058,0)
(256,28058,1)
(257,28058,1)
(258,28058,19)
(259,28058,19)
(260,28058,34)
(261,28058,34)
(262,28058,17)
(263,28058,17)
(264,28058,38)
(265,28058,38)
(266,28058,34)
(267,28058,34)
(268,28058,18)
(269,28058,18)
(270,28058,7)
(271,28058,7)
(272,28058,14)
(273,28058,14)
(274,28058,24)
(275,28058,24)
(276,28058,20)
(277,28058,20)
(278,28058,2)
(279,28058,2)
(280,28058,0)
(281,28058,0)
(282,28058,11)
(283,28058,11)
(284,28058,6)
(285,28058,6)
(286,28058,29)
(287,28058,29)
(288,28058,27)
(289,28058,27)
(290,28058,33)
(291,28058,33)
(292,28058,19)
(293,28058,19)
(294,28058,17)
(295,28058,17)
(296,28058,28)
(297,28058,28)
(298,28058,37)
(299,28058,37)
(300,28058,34)
(301,28058,34)
(302,28058,39)
(303,28058,39)
(304,28058,25)
(305,28058,25)
(306,28058,17)
(307,28058,17)
(308,28058,28)
(309,28058,28)
(310,28058,30)
(311,28058,30)
(312,28058,5)
(313,28058,5)
(314,28058,13)
(315,28058,13)
(316,28058,22)
(317,28058,22)
(318,28058,38)
(319,28058,38)
(320,28058,24)
(321,28058,24)
(322,28058,9)
(323,28058,9)
(324,28058,15)
(325,28058,15)
(326,28058,23)
(327,28058,23)
(328,28058,3)
(329,28058,3)
(330,28058,25)
(331,28058,25)
(332,28058,30)
(333,28058,30)
(334,28058,10)
(335,28058,10)
(336,28058,9)
(337,28058,9)
(338,28058,10)
(339,28058,12)
(340,28058,12)
(341,28058,2)
(342,28058,2)
(343,28058,13)
(344,28058,13)
(345,28058,18)
(346,28058,18)
(347,28058,31)
(348,28058,31)
(349,28058,1)
(350,28058,1)
(351,28058,12)
(352,28058,12)
(353,28058,2)
(354,28058,2)
(355,28058,10)
(356,28058,10)
(357,28058,32)
(358,28058,32)
(359,28058,0)
(360,28058,0)
(361,28058,4)
(362,28058,4)
(363,28058,32)
(364,28058,32)
(365,28058,17)
(366,28058,17)
(367,28058,13)
(368,28058,13)
(369,28058,12)
(370,28058,12)
(371,28058,7)
(372,28058,7)
(373,28058,10)
(374,28058,10)
(375,28058,25)
(376,28058,25)
(377,28058,30)
(378,28058,30)
(379,28058,8)
(380,28058,8)
(381,28058,10)
(382,28058,10)
(383,28058,39)
(384,28058,39)
(385,28058,16)
(386,28058,16)
(387,28058,33)
(388,28058,33)
(389,28058,34)
(390,28058,34)
(391,28058,1)
(392,28058,1)
(393,28058,15)
(394,28058,15)
(395,28058,4)
(396,28058,4)
(397,28058,3)
(398,28058,3)
(399,28058,26)
(400,28058,26)
(401,28058,9)
(402,28058,9)
(403,28058,5)
(404,28058,5)
(405,28058,31)
(406,28058,31)
(407,28058,27)
(408,28058,27)
(409,28058,36)
(410,28058,36)
(411,28058,32)
(412,28058,32)
(413,28058,31)
(414,28058,31)
(415,28058,31)
(416,28058,2)
(417,28058,2)
(418,28058,24)
(419,28058,24)
(420,28058,23)
(421,28058,23)
(422,28058,39)
(423,28058,39)
(424,28058,16)
(425,28058,16)
(426,28058,0)
(427,28058,0)
(428,28058,4)
(429,28058,4)
(430,28058,28)
(431,28058,28)
(432,28058,8)
(433,28058,8)
(434,28058,15)
(435,28058,15)
(436,28058,14)
(437,28058,14)
(438,28058,30)
(439,28058,30)
(440,28058,15)
(441,28058,15)
(442,28058,24)
(443,28058,24)
(444,28058,21)
(445,28058,21)
(446,28058,23)
(447,28058,23)
(448,28058,9)
(449,28058,9)
(450,28058,15)
(451,28058,15)
(452,28058,25)
(453,28058,25)
(454,28058,24)
(455,28058,24)
(456,28058,12)
(457,28058,12)
(458,28058,28)
(459,28058,28)
(460,28058,2)
(461,28058,2)
(462,28058,21)
(463,28058,21)
(464,28058,25)
(465,28058,25)
(466,28058,34)
(467,28058,34)
(468,28058,8)
(469,28058,8)
(470,28058,13)
(471,28058,13)
(472,28058,18)
(473,28058,18)
(474,28058,32)
(475,28058,32)
(476,28058,4)
(477,28058,4)
(478,28058,13)
(479,28058,13)
(480,28058,16)
(481,28058,16)
(482,28058,27)
(483,28058,27)
(484,28058,4)
(485,28058,4)
(486,28058,24)
(487,28058,24)
(488,28058,28)
(489,28058,28)
(490,28058,8)
(491,28058,8)
(492,28058,4)
(493,28058,4)
(494,28058,28)
(495,28058,28)
(496,28058,15)
(497,28058,15)
(498,28058,18)
(499,28058,18)
(500,28058,18)
(501,28058,23)
(502,28058,23)
(503,28058,34)
(504,28058,34)
(505,28058,39)
(506,28058,39)
(507,28058,6)
(508,28058,6)
(509,28058,35)
(510,28058,35)
(511,28058,6)
(512,28058,31)
(513,28058,31)
(514,28058,20)
(515,28058,20)
(516,28058,18)
(517,28058,18)
(518,28058,11)
(519,28058,11)
(520,28058,14)
(521,28058,14)
(522,28058,39)
(523,28058,39)
(524,28058,36)
(525,28058,36)
(526,28058,0)
(527,28058,0)
(528,28058,0)
(529,28058,10)
(530,28058,10)
(531,28058,19)
(532,28058,19)
(533,28058,24)
(534,28058,24)
(535,28058,14)
